,,,,,,,,
,,,,,,,,
AD LEVEL METRICS,,,,,,,,
,,,,,,,,
ad_name,Total Spend,% of Spend,Total No Payments,AVERAGE CPC,AVG Conversion Rate,AVG CPLPV,AVG CTR,Insights From Top ADS Metrics 
monkey ugc,35152,9.18%,267,₹0.95,0.72,₹1.34,4.14,1.Top 5 ads to continue section which has highest spend%and higest no of
gibhli art | traffic | clubbed audience,26820,7.00%,61,₹1.17,0.27,₹6.29,1.49," payemnts are [monkey ugc] , [ad - 1 5 strangers] , [saturaday night],"
brand awareness video - stepout,23537,6.14%,2,₹2.83,0.02,₹23.10,0.07,"[ranveer] ,[instagram post our latest stepout dinner]"
c | 5 strangers | single- high value,19694,5.14%,36,₹7.96,1.08,₹14.72,1.89,
c | 5 strangers toss | single- high value,12621,3.29%,12,₹9.77,0.80,₹17.76,1.87,"2. monkey ugc ,saturday night , ranveer are top 3 ads with most no of "
ad -1 || 5 strangers |,12345,3.22%,30,₹4.42,1.07,₹7.67,2.43,payments and less cplpv below 1.5 and good conversion rate arround .70
gibhli art - single + high value,10826,2.83%,9,₹9.75,0.56,₹23.37,1.75,
ad - 5 || college reel || event || d n f,10147,2.65%,6,₹17.99,1.06,₹25.82,2.54,
brand awareness video,10143,2.65%,7,₹3.77,0.26,₹40.73,0.09,
saturday night,9655,2.52%,67,₹0.94,0.65,₹1.30,3.16,
c | 5 strangers | dating + high value,9521,2.49%,8,₹5.57,0.46,₹10.68,2.04,
ranveer,8393,2.19%,62,₹0.97,0.72,₹1.24,5.06,
"c | 5 strangers | food, dinner",8361,2.18%,20,₹5.30,0.81,₹9.33,2.89,
c | 5 strangers | event,7979,2.08%,16,₹5.46,0.99,₹9.68,2.32,
instagram post: step out of the ordinary and into...,7912,2.07%,46,₹1.95,1.13,₹45.21,0.46,
c | table view | single- high value,7857,2.05%,2,₹10.44,0.16,₹23.47,2.37,
animated explainer,7664,2.00%,0,₹1.43,0.00,₹4.73,3.15,
qla ugc,7041,1.84%,29,₹1.04,0.43,₹1.32,5.08,
gibhli art - dating | event,6244,1.63%,5,₹7.70,0.41,₹18.55,2.57,
"c | food, dinner",6125,1.60%,4,₹11.89,0.35,₹19.57,2.19,
animated_explainer,5729,1.50%,2,₹10.05,0.28,₹25.45,2.24,
ad - 5 || college reel || dating apps || d n f,5418,1.41%,4,₹17.53,1.29,₹28.67,2.05,
ad- 8 || saturday || food & dinner ( mid & high),5196,1.36%,6,₹16.87,1.95,₹29.52,1.42,
instagram post: our latest stepout dinner was...,5166,1.35%,32,₹1.37,0.68,₹7.17,5.99,
c | 5 strangers toss | event,4838,1.26%,1,₹8.06,0.11,₹14.30,2.48,
gibhli art | dating + high value,4541,1.19%,7,₹6.05,0.91,₹15.15,2.33,
"c | table view | food, dinner",4506,1.18%,0,₹9.55,0.00,₹18.58,3.11,
c | 5 strangers toss | socializing,4467,1.17%,8,₹8.31,1.37,₹15.04,2.72,
"c | 5 strangers toss | food, dinner",4115,1.07%,4,₹9.63,0.90,₹16.94,2.60,
c | 5 strangers toss | dating + high value,4052,1.06%,0,₹8.08,0.00,₹14.77,1.97,
instagram post: we could hype it up. but they...,3990,1.04%,3,₹1.17,0.05,₹6.98,4.17,
"instagram post: gurgaon, we’ve stepped in ?? your...",3824,1.00%,33,₹1.63,0.91,₹14.50,0.61,
c | single- high value,3787,0.99%,0,₹12.03,0.00,₹23.34,1.66,
